Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Eles vendem maçã a 5 dólares a unidade.	ELES 5 MAÇÃ DÓLAR UNIDADE VENDER
Você também gosta de jazz?	{TAMBÉM VOCÊ JAZZ GOSTAR}(q)
Tomei duas xícaras de café.	XÍCARA 2 CAFÉ EU TOMAR
A menina foi pra floresta procurar cogumelos.	FLORESTA MULHER MENINO COGUMELOS PROCURAR IR
Ela dormiu várias noites no hotel.	VÁRIOS NOITES HOTEL ELE DORMIR
Nós avaliamos o prejuízo em mil dólares.	NÓS PREJUÍZO 1000 DÓLAR AVALIAR
Esse é o maior gato que eu já vi.	JÁ ESSE GATO EU VER
Boa viagem!	BOM VIAGEM
Fui nadar no mar.	MAR NADAR
Me mostra as fotos que você tirou em Paris.	VOCÊ EU FOTOS PARIS MOSTRAR TIRAR
Todo começo é difícil.	TODO COMEÇO DIFÍCIL
Cumpra a sua palavra.	PALAVRA SEU ELE CUMPRIR
O Bill me ligou ontem à noite.	ONTEM DT(B-I-L-L) NOITE LIGAR
É isso o que eu quero saber.	ISSO EU SABER QUERER
Eu prometi a ele guardar segredo.	EU DELE GUARDAR SEGREDO PROMETER
Vai embora e logo!	LOGO EMBORA ELE IR
Ele tem doze anos. Está alto pra sua idade.	ELE 12 ANO TER ALTO IDADE SEU
Eu sei que ele gosta de jazz.	EU ELE GOSTAR JAZZ SABER
Ele pagou um milhão de dólares por essa pintura.	ELE ESSE DÓLAR 1000000 PINTURA PAGAR
Eu estou livre até hoje às seis da tarde.	HOJE EU LIVRE 6 TARDE
As tropas inimigas começaram um ataque.	INIMIGO TROPAS ATAQUE COMEÇAR
Eu tive que estudar inglês.	EU INGLÊS ESTUDAR
A maior parte da floresta amazônica permanece intacta.	MAIOR AMAZÔNICA PARTE INTACTO FLORESTA PERMANECER
Ele quase se afogou.	QUASE ELE AFOGAR
O velho mora sozinho.	VELHO SÓ MORA
Jones é bem qualificado para o trabalho.	BEM DT(J-O-N-E-S) QUALIFICAR TRABALHO
Ele está cavando sua própria cova.	PRÓPRIO ELE COVA SEU CAVAR
Sapos têm medo de cobras.	SAPOS MEDO COBRAS TER
A bola voou pelo ar.	BOLA AR VOAR
Gosto mais de gatos que de cachorros.	GATOS CACHORROS GOSTAR
Depois que eu acabei a tarefa, finalmente pude assistir TV.	DEPOIS FINAL EU PODER TAREFA TV PODER ASSISTIR ACABAR
Esse estudante é americano.	ESTUDANTE ESSE AMERICANO
A maçã caiu da árvore.	MAÇÃ ÁRVORE CAIR
Toma cuidado!	CUIDADO ELE TOMAR
Ele me trata como se eu fosse um estranho.	ELE EU EU TRATAR ESTRANHO COMO SE FOSSAR
Essa chave de fenda é muito pequena, não serve.	CHAVE PEQUENO ESSE FENDA SERVIR (NÃO)
Os dados salvos não pertencem a você. Não será possível salvar o seu progresso. Os troféus serão desativados.	SALVAR DADOS VOCÊ SALVAR PERTENCER NÃO POSSÍVEL SEU SALVAR PROGRESSO TROFÉUS DESATIVADOS (NÃO)
Eu me enganei ao achar que ele era um homem confiável.	EU ELE EU ENGANAR CONFIÁVEL HOMEM ACHAR
Todos podem ajudar a garantir que as frases pareçam naturais e sejam escritas corretamente.	TODO FRASES PARECER NATURAIS AJUDAR GARANTIR PODER CORRETAMENTE ESCREVER
Ele está cogitando vender a casa.	ELE CASA VENDER COGITAR
Peguei um resfriado.	RESFRIADO EU PEGAR
Se eu fosse você, ia já para casa.	CASA SE EU VOCÊ JÁ FOSSAR
Preciso ir embora cedo pra pegar o trem.	EMBORA PRECISO EU CEDER PEGAR TREM IR
Essa tesoura não está cortando.	TESOURA ESSE CORTAR (NÃO)
Eles têm gêmeos.	ELES GÊMEOS TER
Lave a chicória e remova as folhas que possam estar estragadas.	CHICÓRIA ELE LAVAR FOLHAS REMOVER ESTRAGAR PODER
Não vai adiantar me pedir dinheiro.	EU DINHEIRO PEDIR ADIANTAR (NÃO)
Agora você é adulto.	AGORA VOCÊ ADULTO
Se ele tivesse me dito a verdade, eu o teria perdoado.	SE ELE EU DIZER VERDADE O PERDOAR
Você precisa começar logo.	LOGO VOCÊ COMEÇAR PRECISAR
Eu tinha certeza de que vocês vinham.	EU VOCÊS CERTEZA TER VIR
Meus amigos me visitaram anteontem.	ANTEONTEM AMIGO MEU EU VISITAR
Não aconteceu nada.	NADA ACONTECER (NÃO)
Eu vou mostrar a cidade para vocês.	EU CIDADE VOCÊS MOSTRAR
Tem uma libélula no teto.	LIBÉLULA TETO ELE TER
Estou segurando um livro.	LIVRO SEGURAR
Os gatos conseguem enxergar no escuro.	GATOS ESCURO ENXERGAR CONSEGUIR
Papai está tentando calcular os impostos.	PAPAI IMPOSTOS CALCULAR TENTAR
O nosso mundo é apenas uma pequena parte do universo.	MUNDO PARTE NOSSO PEQUENO UNIVERSO APENAS
Uma viagem à lua em uma nave espacial não é mais um sonho.	VIAGEM NAVE SONHO MAIS (NÃO)
Demos um relógio de presente à nossa mãe.	PRESENTE MÃE RELÓGIO NOSSO NÓS DAR
Onde eu ponho a minha bagagem?	EU BAGAGEM MEU PÔR ONDE (NÃO)
Essa é a minha comida favorita.	ESSA FAVORITO COMIDA MEU
Squaw Valley, na Califórnia, é uma das maiores áreas de esqui dos Estados Unidos.	SQUAW VALLEY ÁREAS CALIFÓRNIA ESQUI ESTADOS UNIDOS
Se esforce!	SE ELE ESFORÇAR
Eu pisei com cuidado no acelerador.	EU CUIDADO ACELERADOR PISAR
A América foi descoberta em 1492 por Colombo.	AMÉRICA DESCOBERTA 1492 DT(C-O-L-O-M-B-O)
Você poderia levar minhas malas lá para cima, por favor?	{LÁ VOCÊ MALAS MEU CIMA FAVOR LEVAR PODER}(q)
Ele apareceu de repente, depois de três anos ausente.	DEPOIS AUSENTE ELE REPENTE 3 ANO APARECER
Ele lava as calças.	ELE CALÇAS LAVAR
Tem alguma coisa no meu olho.	MEU ALGUM OLHO COISA ELE TER
Eu me senti mal.	MAL EU EU SENTIR
Ele não gosta de laranja.	ELE LARANJA GOSTAR (NÃO)
Quanto eu te devo?	EU TU DEVER QUANTO (NÃO)
Devo abrir tudo?	{TUDO ABRIR EU DEVER}(q)
Tenho uma bolsa de gelo.	BOLSA GELO EU TER
Sim, eu falo espanhol.	SIM ESPANHOL EU FALAR
O que você gosta de fazer no seu tempo livre?	{O VOCÊ TEMPO LIVRE SEU FAZER GOSTAR}(q)
Qual é a idade do seu filho?	IDADE FILHO SEU QUAL (NÃO)
Quantos anos seu filho tem?	ANOS FILHO SEU TER QUANTOS (NÃO)
Posso estacionar aqui por um tempo?	{AQUI TEMPO ESTACIONAR EU PODER}(q)
Onde você trabalha?	VOCÊ TRABALHAR ONDE (NÃO)
Estou doente.	DOENTE
Sou doente.	DOENTE
Ele não está aqui porque está doente.	AQUI PORQUE ELE DOENTE ESTAR (NÃO)
Onde fica a estação de metrô mais próxima?	PRÓXIMO ESTAÇÃO METRÔ MAIS FICAR ONDE (NÃO)
O supermercado está aberto.	SUPERMERCADO ABERTO
Você consegue consertar esses sapatos?	{VOCÊ ESSE SAPATOS CONSERTAR CONSEGUIR}(q)
Você pode consertar estes sapatos?	{VOCÊ ESTE SAPATOS CONSERTAR PODER}(q)
Que animal é pequeno?	{ANIMAL PEQUENO}(q)
Podemos nos encontrar novamente?	{NOVAMENTE NÓS ENCONTRAR PODER}(q)
Podemos nos encontrar outra vez?	{OUTRA VEZ NÓS ENCONTRAR PODER}(q)
Podemos nos encontrar de novo?	{NOVO NÓS ENCONTRAR PODER}(q)
Em uma semana há sete dias.	SEMANA 7 DIA HAVER
De que horas você toma o café da manhã?	{VOCÊ CAFÉ MANHÃ HORAS TOMAR}(q)
A raposa veloz pula sobre o cão preguiçoso.	VELOZ RAPOSA PREGUIÇOSO CÃO
As pessoas a chamam de Yotchan.	PESSOA YOTCHAN NOME
Ele é o melhor amigo do meu marido.	ELE MELHOR AMIGO MARIDO MEU
Eu gosto do seu carro.	EU CARRO SEU GOSTAR
Este é meu cavalo.	ESTE CAVALO MEU
Que língua é falada no Egito?	{LÍNGUA EGITO FALAR}(q)
Que idioma falam no Egito?	{IDIOMA EGITO FALAR}(q)
Que língua é utilizada no Egito?	{LÍNGUA EGITO UTILIZAR}(q)
Eu vou fazer um eletrocardiograma.	EU ELETROCARDIOGRAMA FAZER
Eu farei um eletrocardiograma.	EU ELETROCARDIOGRAMA FAZER
Que romântico!	ROMÂNTICO
Aqui é proibido fumar.	AQUI FUMAR PROIBIR
Eles andaram uma grande distância sem beber água.	ELES DISTÂNCIA ÁGUA ANDAR BEBER
Eu sei falar em Interlíngua.	EU INTERLÍNGUA FALAR SABER
Posso te ajudar?	{AJUDAR EU PODER}(q)
No que posso ser útil?	{ÚTIL PODER}(q)
Quer ajuda?	{AJUDA QUERER}(q)
Carlos é inteligente e criativo.	DT(C-A-R-L-O-S) INTELIGENTE CRIATIVO
Ninguém é velho demais para aprender coisas novas.	DEMAIS VELHO APRENDER COISA NOVAS
Eu gostaria de um copo d'água.	EU D'ÁGUA COPO GOSTAR
Ele decorou a tabela periódica só por diversão.	SÓ PERIÓDICO ELE TABELA DIVERSÃO DECORAR
Ele memorizou a tabela periódica só por diversão.	SÓ PERIÓDICO ELE TABELA DIVERSÃO MEMORIZAR
Eu não acho que ele seja um grande ator.	ELE EU GRANDE ATOR ACHAR (NÃO)
Betty não disse uma palavra.	DT(B-E-T-T-Y) PALAVRA DIZER (NÃO)
Eu não gosto tanto assim de pizza de pepperoni.	EU PIZZA PEPPERONI TANTO GOSTAR (NÃO)
Nós gostamos de jogar futebol.	NÓS FUTEBOL JOGAR GOSTAR
Estou tão cansado que não consigo estudar.	TÃO CANSAR ESTUDAR EU CONSEGUIR (NÃO)
Meu coração está cheio de dor.	CORAÇÃO CHEIO DOR MEU
O pai dele é japonês.	PAI JAPONÊS DELE
O pai dela é japonês.	PAI JAPONÊS
Você pode vir a qualquer momento.	VOCÊ QUALQUER MOMENTO VIR PODER
Você pode vir na hora que quiser.	VOCÊ HORA VIR PODER QUERER
Perder a saúde é pior do que perder dinheiro.	PIOR DO QUE PERDER SAÚDE PERDER DINHEIRO
Use o dicionário para descobrir os sentidos das frases abaixo.	ABAIXO DESCOBRIR DICIONÁRIO SENTIDOS FRASES ELE USAR
Notícias do incidente se espalharam rapidamente.	RAPIDAMENTE NOTÍCIAS INCIDENTE ESPALHAR
Ainda não tivemos nenhuma notícia de Brian.	NENHUM NOTÍCIA BRIAN TER AINDA_{NÃO}(headshake)
O quarto era grande e decente.	QUARTO GRANDE DECENTE
Pensei nessas coisas, mas não foi isso que eu disse.	ESSE COISA EU PENSAR MAS EU ISSO DIZER IR (NÃO)
Só quando anoitecia ela tocava piano.	SÓ QUANDO ELE ANOITECER PIANO TOCAR
O portão da casa estava aberto.	PORTÃO ABERTO CASA
A moça abriu a janela.	MULHER MOÇO JANELA ABRIR
Depois do almoço eles se trancaram no quarto e falaram sobre a moça.	DEPOIS ELES QUARTO ALMOÇO TRANCAR MULHER MOÇO ELES FALAR
Não há vida neste corpo.	ESTE VIDA CORPO HAVER (NÃO)
Ele estava determinado a viajar pro exterior.	ELE DETERMINAR PRO EXTERIOR VIAJAR
Qualquer coisa que ele disser é verdade.	ELE QUALQUER COISA VERDADE DIZER
Dez, vinte, trinta, quarenta, cinquenta, sessenta, setenta, oitenta, noventa, cem.	40 60 0 30 50 90 100 80
O que você fez com a minha calça?	{O VOCÊ CALÇA MEU FAZER}(q)
Esse menino não quer me dizer seu nome.	MENINO SEU ESSE EU NOME DIZER (NÃO)
O ministro contradisse sua própria afirmação.	PRÓPRIO MINISTRO AFIRMAÇÃO SEU CONTRADIZER
Foi ontem que eu quebrei a janela por engano.	ONTEM EU JANELA QUEBRAR ENGANO IR
Foi ontem que eu quebrei a janela sem querer.	ONTEM EU QUEBRAR JANELA IR QUERER
Vamos trocar de lugar.	LUGAR TROCAR
O Bob está procurando alguém para conversar.	BOB ALGUÉM PROCURAR CONVERSAR
A que horas sai o seu voo?	{A HORAS VOO SEU SAIR}(q)
Como não pude pagar o aluguel, pedi a ajuda a ele.	COMO ALUGUEL AJUDA ELE PAGAR PEDIR PODER (NÃO)
Eu queria umas informações sobre os seus novos computadores.	NOVOS SEU EU UM INFORMAÇÃO COMPUTADORES QUERER
No dia 27/02 eu estou livre a tarde inteira.	EU DIA 27/02 LIVRE INTEIRO TARDE
Eu dormi bem a noite toda.	BEM EU TODO NOITE DORMIR
É esse o dicionário que eu uso todo dia.	DICIONÁRIO EU TODO ESSE DIA USAR
Ele mora em apartamento.	ELE APARTAMENTO MORAR
Essa cópia está diferente do original.	CÓPIA ESSE DIFERENTE ORIGINAL
Cala a boca!	BOCA ELE CALAR
Os Lions ganharam fácil dos Hawks.	LIONS FÁCIL HAWKS GANHAR
Ele conhece essa cidade muito bem.	BEM ELE ESSE CIDADE CONHECER
Eu estudo inglês uma hora por dia todos os dias.	TODOS OS DIAS EU ESTUDO INGLÊS HORA
Todo mundo precisa acreditar em algo.	TODO MUNDO ALGO ACREDITAR PRECISAR
As coisas não são sempre o que parecem.	SEMPRE O COISA PARECER (NÃO)
As aparências enganam.	APARÊNCIAS ENGANAR
Depois de discutir com a mulher dele, ele deu uma boa caminhada para limpar a mente.	DEPOIS ELE DISCUTIR MULHER CAMINHADA ELE LIMPAR MENTE DAR
Qual é a sua ocupação?	OCUPAÇÃO SEU QUAL (NÃO)
Não se pode esperar que os governos resolvam este problema.	GOVERNOS ESTE RESOLVER PROBLEMA ESPERAR PODER (NÃO)
Os cientistas e a nova mídia estão apresentando cada vez mais evidência de mudança no clima.	CIENTISTAS CADA VEZ MAIS NOVO MÍDIA EVIDÊNCIA CLIMA APRESENTAR
Como está indo?	INDO COMO (NÃO)
Ele estava de terno.	ELE TERNO
Ele estava vestindo um terno.	ELE TERNO VESTIR
Sou do Brasil.	BRASIL
Como você sabe disso?	VOCÊ ISSO SABER COMO (NÃO)
Você pode consertar o pneu furado agora?	{AGORA VOCÊ PNEU CONSERTAR PODER FURAR}(q)
O café da manhã está incluído no preço?	{CAFÉ MANHÃ PREÇO INCLUIR}(q)
Eu gostaria de pagar em dinheiro.	EU DINHEIRO PAGAR GOSTAR
Parabéns pelo seu aniversário.	PARABÉNS ANIVERSÁRIO SEU PELAR
Ele vem da França.	ELE FRANÇA VIR
Tenho cabelos castanhos.	CASTANHOS CABELOS EU TER
Meus cabelos são castanhos.	CABELOS CASTANHOS MEU
A necessidade é a mãe da invenção.	NECESSIDADE MÃE INVENÇÃO
Ele usa óculos para ler.	ELE ÓCULOS USAR LER
Cada criança tem seu próprio quarto.	CRIANÇA PRÓPRIO SEU CADA QUARTO TER
Eu trabalho em um hospital.	EU TRABALHO HOSPITAL
Eu não durmo bem.	BEM EU DORMIR (NÃO)
Como vai a sua família?	FAMÍLIA SEU ELE IR COMO (NÃO)
Como está a sua família?	FAMÍLIA SEU COMO (NÃO)
Ele chegou em casa exatamente às dez horas.	EXATAMENTE ELE 10 CASA HORA CHEGAR
Você gostaria de algo mais?	{VOCÊ MAIS ALGO GOSTAR}(q)
Deseja algo mais?	{ALGO MAIS ELE DESEJAR}(q)
Eu trabalho aqui.	AQUI EU TRABALHO
São quantas paradas de ônibus até o centro?	ÔNIBUS CENTRO PARAR QUANTAS (NÃO)
Eu descobri onde ela estava.	ONDE EU DESCOBRIR
Você conhece um bom dentista?	{BOM VOCÊ DENTISTA CONHECER}(q)
Eu me diverti muito.	EU EU DIVERTIR
Ele é muito sensível.	ELE SENSÍVEL
Quero comer.	COMER EU QUERER
Eu disse para ela não soltar a corda, mas foi isso o que ela fez.	EU CORDA DIZER SOLTAR NÃO MAS ISSO IR FAZER (NÃO)
Me desculpe, eu estraguei tudo.	EU DESCULPAR EU TUDO ESTRAGAR
Meu irmão pagou o dobro do preço.	IRMÃO DOBRO PREÇO MEU PAGAR
Ei, tenha calma. Estou só brincando com você.	EIS CALMO EU TER SÓ VOCÊ BRINCAR
É tão bom quando você passa as unhas nas minhas costas.	TÃO BOM QUANDO VOCÊ UNHAS COSTAS MEU PASSADO
Ela tem a mania de ficar limpando a garganta sempre que está nervosa.	SEMPRE QUE MANIA GARGANTA NERVOSO ELE TER LIMPAR FICAR
Caiu todo o açúcar no chão.	TODO AÇÚCAR CHÃO ELE CAIR
Entregue-se ao inimigo.	INIMIGO ELE ENTREGAR
Ele faz a barba toda manhã com barbeador elétrico.	ELÉTRICO ELE TODO BARBA MANHÃ BARBEADOR FAZER
Ele queria conciliar todo mundo.	ELE TODO MUNDO CONCILIAR QUERER
Não deixe a televisão ligada.	TELEVISÃO LIGAR ELE DEIXAR (NÃO)
Por favor preencha o formulário de declaração aduaneira.	ADUANEIRO FORMULÁRIO FAVOR DECLARAÇÃO PREENCHER
Passaram muitos carros.	CARROS MUITOS ELES PASSADO
O homem me ajudou quando eu estava em apuros.	HOMEM EU AJUDAR QUANDO EU APUROS
O Bell morava em Londres, né?	{DT(B-E-L-L) LONDRES MORAR}(q)
Ele tá feliz pra caralho.	ELE FELIZ CARALHO TÁ
Ele hesitou antes de responder.	ANTES ELE HESITAR
Pelayo tomou um susto e foi correndo chamar sua esposa Elisenda.	DT(P-E-L-A-Y-O) SUSTO TOMAR DT(E-L-I-S-E-N-D-A) MULHER ESPOSO SEU NOME CORRER
O filho fez uma pergunta à mãe.	FILHO PERGUNTA MÃE FAZER
Está entrando água nos meus óculos. Acho que eles não se encaixam direito.	ÁGUA ÓCULOS MEU ENTRAR ELES ENCAIXAR DIREITO ACHAR (NÃO)
Ele aprendeu a nadar.	ELE NADAR APRENDER
Eu me pergunto por que ovos são vendidos em dúzias.	EU EU DÚZIAS PERGUNTAR VENDER
Eu me pergunto por que motivo ovos são vendidos em dúzias.	EU MOTIVO EU DÚZIAS PERGUNTAR VENDER
Eu passei por uma menininha que estava pulando corda na calçada.	EU MENINO CALÇADA CORDA PASSADO PULAR
Eu amo o cheiro que as páginas de um livro velho soltam quando o abrimos.	EU PÁGINAS CHEIRO LIVRO AMAR SOLTAR QUANDO O ABRIR
Os casamentos hollywoodianos raramente duram.	RARO HOLLYWOODIANOS CASAMENTOS DURAR
O bebê está de mau humor porque seus dentes estão nascendo.	PORQUE BEBER HUMOR DENTES SEU NASCER ESTAR
Temos que ler pelo menos um livro por mês.	PELO MENOS LIVRO MÊS LER
Eu me pergunto qual será o primeiro país a censurar o Tatoeba.	EU QUAL PERGUNTAR EU PAÍS TATOEBA CENSURAR
Você está com febre e a sua garganta dói?	{VOCÊ FEBRE GARGANTA DÓI SEU ESTAR}(q)
Com 19 casos representando mais de vinte por cento do total, a triste realidade das mortes por exaustão tem chamado atenção.	TRISTE MAIS 19 CASO 20 POR CENTO MORTE REALIDADE EXAUSTÃO ATENÇÃO REPRESENTAR NOME
Eu me demito.	EU EU DEMITIR
Esses carros novos estão a venda.	CARROS ESSE VENDA
Ele é meu melhor amigo.	ELE MELHOR AMIGO MEU
Eu estava me preparando para terminar o meu relatório, quando meu chefe pediu para explicar a eles todos os detalhes do projeto novamente.	EU MEU EU TERMINAR RELATÓRIO PREPARAR QUANDO NOVAMENTE CHEFE MEU TODO EXPLICAR ELES DETALHES PROJETO PEDIR
A chave está na mesa.	CHAVE MESA
Ele conhece muita gente.	ELE GENTE MUITA CONHECER
Você poderia me dizer a hora exata, por favor?	{VOCÊ EU EXATA FAVOR HORA DIZER PODER}(q)
Ele não quis dizer mais nada sobre isso.	ELE MAIS NADA ISSO DIZER (NÃO)
O prisioneiro foi solto ontem.	ONTEM PRISIONEIRO SOLTO IR
Quantas vezes você foi?	VOCÊ MULHER VEZ IR QUANTAS (NÃO)
Minha língua nativa é o presente mais bonito que a minha mãe me deu.	MAIS MEU LÍNGUA PRESENTE MÃE MEU DAR EU
Cão que late não morde.	CÃO LATE MORDER (NÃO)
Você gostaria de ser famoso?	{VOCÊ FAMOSO GOSTAR}(q)
Você gostaria de ser famosa?	{VOCÊ FAMOSO GOSTAR}(q)
O príncipe William é o segundo na linha do trono inglês.	DT(W-I-L-L-I-A-M) PRÍNCIPE TRONO INGLÊS LINHA
Eu me pergunto se o príncipe Willian deixa todo mundo chamá-lo de Bill.	DT(W-I-L-L-I-A-N) TODO EU PRÍNCIPE EU MUNDO DT(B-I-L-L) DEIXAR NOME PERGUNTAR
É difícil fazer predições, especialmente sobre o futuro!	ESPECIAL DIFÍCIL FAZER MULHER PREDIÇÃO FUTURO
C++0x vai aceitar funções template que têm um número arbitrário de parâmetros.	NÚMERO MULHER FUNÇÃO PARÂMETRO ARBITRÁRIO ACEITAR TER
Ele estava com sede.	ELE SEDE
Eu sei onde ela está.	ONDE EU SABER
Ele viveu uma vida simples.	SIMPLES ELE VIDA VIVER
Stephen King é um dos meus escritores favoritos.	ESCRITORES MEU
Qual é a sua comida favorita?	COMIDA FAVORITO SEU QUAL (NÃO)
Os passatempos favoritos dele eram caçar e jogar golfe.	FAVORITOS PASSATEMPOS DELE CAÇAR GOLFE JOGAR
Esta sentença não está em Italiano.	SENTENÇA ESTE ITALIANO (NÃO)
Há quantos convidados?	HAVER CONVIDAR QUANTOS (NÃO)
Qual é o número de convidados?	NÚMERO CONVIDADOS QUAL (NÃO)
Onde todos vocês vivem?	TODO VOCÊS VIVER ONDE (NÃO)
Você está ensinando espanhol?	{VOCÊ ESPANHOL ENSINAR}(q)
Romeu se casa com Julieta.	DT(R-O-M-E-U) CASA DT(J-U-L-I-E-T-A)
Eu quero trocar isso.	EU ISSO TROCAR QUERER
De manhã, eu escrevo no parque.	EU MANHÃ PARQUE ESCREVER
De que horas o jantar é servido?	{JANTAR SERVIR}(q)
Quando você bebe café?	VOCÊ CAFÉ BEBER QUANDO (NÃO)
Ele está se dando bem com todos seus colegas de classe.	BEM ELE TODO COLEGAS SEU CLASSE DAR
Pelo menos estar doente te dá a desculpa perfeita para ficar em casa assistindo filme.	PELO MENOS DOENTE TU DESCULPA DAR CASA FILME FICAR ASSISTIR PERFAZER
Estou bebendo água porque estou com sede.	PORQUE ÁGUA BEBER SEDE
Eu lavo minhas mãos antes do almoço.	ANTES EU MÃOS MEU ALMOÇO LAVAR
Quanto vai custar?	CUSTAR QUANTO (NÃO)
Nós somos de Columbia.	NÓS COLUMBIA
Quando o show começa?	SHOW COMEÇAR QUANDO (NÃO)
Quando o espetáculo começa?	ESPETÁCULO COMEÇAR QUANDO (NÃO)
Você pode me ajudar, por favor?	{EU VOCÊ FAVOR AJUDAR PODER}(q)
Duas passagens para San Diego, por favor.	2 MULHER PASSAGEM SAN DIEGO FAVOR
Aquela bicicleta não é sua.	BICICLETA AQUELE SEU (NÃO)
Este livro não é meu.	ESTE LIVRO MEU (NÃO)
A casa tem garagem?	{CASA GARAGEM ELE TER}(q)
Você sabe falar latim?	{VOCÊ LATIM FALAR SABER}(q)
Você é viciado em trabalho.	VOCÊ TRABALHO VICIAR
Você gosta de comida japonesa?	{JAPONÊS VOCÊ COMIDA GOSTAR}(q)
Estou longe da árvore.	LONGE ÁRVORE
Como você passou o feriado?	VOCÊ FERIADO PASSADO COMO (NÃO)
Eu quero emagrecer.	EU EMAGRECER QUERER
Eu quero perder peso.	EU PESO PERDER QUERER
Minha mãe não tem filha.	MÃE MEU MULHER FILHO NÃO_TER {NÃO}(headshake)
Preciso ir embora, porque alguém está me esperando do lado de fora.	EMBORA PRECISO PORQUE ALGUÉM EU ESPERAR LADO IR
O médico foi até o doente e prescreveu alguns medicamentos.	MÉDICO DOENTE ELE IR ALGUM MEDICAMENTOS ELE PRESCREVER
O doente não observou a prescrição do médico.	DOENTE PRESCRIÇÃO MÉDICO (NÃO)
Se não observar a prescrição do médico, você vai morrer.	SE VOCÊ PRESCRIÇÃO MÉDICO MORRER (NÃO)
A cada dez minutos sai um ônibus.	MINUTO CADA 10 ÔNIBUS SAIR
Ele é um dicionário de frases, não palavras.	ELE DICIONÁRIO FRASES PALAVRAS (NÃO)
Você pode procurar sentenças contendo uma certa palavra e ver traduções dessas sentenças.	VOCÊ CERTO SENTENÇAS PALAVRA PROCURAR PODER CONTER MULHER TRADUÇÃO SENTENÇAS VER
"Por que sentenças?", você pode perguntar. Bem, porque elas são mais interessantes.	{SENTENÇAS VOCÊ PERGUNTAR PODER BEM PORQUE ELAS INTERESSANTES MAIS}(q)
Sentenças dão um contexto às palavras. Elas têm personalidade. Elas podem ser engraçadas, inteligentes, inspiradoras, bobas, tocantes, ofensivas.	SENTENÇAS CONTEXTO PALAVRAS DAR ELAS PERSONALIDADE TER INTELIGENTES INSPIRADORAS TOCANTES OFENSIVAS BOBAS ENGRAÇAR PODER
Então nós amamos sentenças. Porém nós amamos línguas ainda mais.	ENTÃO NÓS SENTENÇAS AMAR PORÉM AINDA NÓS LÍNGUAS MAIS AMAR
E o que nós realmente queremos é ter muitas e muitas sentenças em muitas (e em quaisquer) línguas.	REAL O NÓS MUITO QUALQUER TER SENTENÇAS MUITAS E LÍNGUAS QUERER
É por isso que o Tatoeba é multilíngue. Mas não é um tipo comum. Não é o tipo no qual as línguas simplesmente formam pares e onde alguns pares são esquecidos.	TATOEBA MULTILÍNGUE ISSO MAS TIPO COMUM SIMPLESMENTE LÍNGUAS TIPO PARES FORMAR ONDE PARES ALGUM ESQUECER (NÃO)
O Tatoeba é realmente multilíngue. Todas as línguas são interconectadas.	REAL TATOEBA MULTILÍNGUE LÍNGUAS TODAS AS INTERCONECTADAS
Se uma frase em islandês tem uma tradução em inglês e essa frase inglesa tem uma tradução em suaíli, então, indiretamente, teremos uma tradução suaíli para a frase islandesa.	SE FRASE ISLANDÊS TRADUÇÃO INGLÊS TER SUAÍLI FRASE ESSE TRADUÇÃO ENTÃO INDIRETAMENTE TRADUÇÃO ISLANDÊS FRASE ISLANDÊS TER TER
Idiomas que não poderiam nunca ser encontrados juntos em um sistema tradicional podem estar conectados no Tatoeba.	IDIOMAS JUNTOS TATOEBA ENCONTRAR CONECTAR PODER NUNCA PODER {NÃO}(headshake)
Mas onde conseguimos essas sentenças? E como nós as traduzimos?	MAS ESSE SENTENÇAS NÓS CONSEGUIR ONDE NÓS AS TRADUZIR COMO (NÃO)
